Data,qtd_focos,media_dias_sem_chuva,media_precipitacao,media_risco_fogo,media_frp,Mes,DiaSemana,Estacao_Seca,lag_1,lag_2
2015-10-06,154,2.5194805194805197,20.67077922077922,0.24353741496598644,36.544736842105266,10,1,1,196.0,246.0
2015-10-08,68,1.25,0.25,0.3161764705882353,63.618750000000006,10,3,1,3.0,154.0
2015-10-09,206,2.4174757281553396,0.09271844660194176,0.6266331658291457,80.85,10,4,1,68.0,3.0
2015-10-10,178,2.859550561797753,7.113483146067416,0.37022471910112364,17.212195121951222,10,5,1,206.0,68.0
2015-10-11,42,2.8095238095238093,4.647619047619047,0.34210526315789475,18.35,10,6,1,178.0,206.0
2015-10-12,35,0.05714285714285714,0.12000000000000001,0.38125000000000003,25.7,10,0,1,42.0,178.0
2015-10-13,90,2.6555555555555554,0.022222222222222223,0.6551724137931034,30.515789473684208,10,1,1,35.0,42.0
2015-10-14,152,2.6776315789473686,4.524342105263158,0.3919463087248322,27.3,10,2,1,90.0,35.0
2015-10-15,121,2.5702479338842976,3.4115702479338843,0.43189655172413793,32.3,10,3,1,152.0,90.0
2015-10-16,90,2.6555555555555554,0.16333333333333333,0.6322222222222222,98.0,10,4,1,121.0,152.0
2015-10-17,15,5.866666666666666,6.08,0.6933333333333334,11.985714285714286,10,5,1,90.0,121.0
2015-10-18,39,0.5897435897435898,0.020512820512820513,0.6578947368421053,67.1,10,6,1,15.0,90.0
2015-10-19,193,2.1088082901554404,0.4730569948186528,0.6647668393782384,39.22727272727273,10,0,1,39.0,15.0
2015-10-20,358,2.9189944134078214,0.09832402234636872,0.7285310734463276,20.636363636363637,10,1,1,193.0,39.0
2015-10-21,250,3.936,0.332,0.7314516129032258,56.193617021276594,10,2,1,358.0,193.0
2015-10-22,362,4.7292817679558015,0.3298342541436464,0.7290055248618784,28.06933333333333,10,3,1,250.0,358.0
2015-10-23,144,6.097222222222222,0.3111111111111111,0.8081481481481482,25.563636363636363,10,4,1,362.0,250.0
2015-10-24,179,5.944134078212291,3.6966480446927377,0.5666666666666667,24.064864864864866,10,5,1,144.0,362.0
2015-10-26,156,4.455128205128205,2.3897435897435897,0.5716129032258064,34.9,10,0,1,6.0,179.0
2015-10-27,158,0.9810126582278481,0.3322784810126582,0.6878205128205128,27.3,10,1,1,156.0,6.0
2015-10-28,174,1.1666666666666667,0.7580459770114942,0.6895953757225434,69.96153846153847,10,2,1,158.0,156.0
2015-10-30,39,0.02564102564102564,0.23333333333333334,0.5405405405405406,14.833333333333334,10,4,1,6.0,174.0
