Data,qtd_focos,media_dias_sem_chuva,media_precipitacao,media_risco_fogo
2018-10-08,57,0.7192982456140351,1.4140350877192982,0.18928571428571428
2018-10-09,217,1.5115207373271888,3.7442396313364057,0.123963133640553
2018-10-10,187,0.6096256684491979,5.872727272727273,0.15294117647058825
2018-10-12,3,0.0,1.3,0.03333333333333333
2018-10-13,24,0.875,3.1208333333333336,0.10833333333333332
2018-10-14,61,1.7704918032786885,2.4065573770491806,0.07166666666666667
2018-10-15,294,1.683673469387755,0.14319727891156464,0.1403448275862069
2018-10-16,451,2.9046563192904657,0.024390243902439025,0.23816964285714287
2018-10-17,391,3.6445012787723785,0.6698209718670076,0.2854219948849105
2018-10-18,87,2.839080459770115,7.32183908045977,0.16835443037974684
2018-10-19,27,1.5925925925925926,0.9111111111111112,0.22962962962962963
2018-10-21,6,0.16666666666666666,0.03333333333333333,0.0
2018-10-22,4,2.75,5.875,0.25
2018-10-23,6,0.0,2.9166666666666665,0.0
2018-10-26,10,0.0,0.0,0.14
2018-10-27,61,0.6229508196721312,0.5426229508196722,0.08333333333333333
2018-10-28,56,1.4464285714285714,6.203571428571428,0.08181818181818182
2018-10-29,68,2.073529411764706,1.6955882352941176,0.17424242424242425
2018-10-30,11,2.727272727272727,14.30909090909091,0.0
2018-10-31,14,1.8571428571428572,3.0,0.2714285714285714
2018-11-01,26,0.6153846153846154,7.723076923076922,0.04230769230769231
2018-11-02,27,0.5925925925925926,1.1259259259259258,0.07037037037037037
2018-11-03,53,1.0566037735849056,1.3622641509433964,0.043396226415094344
2018-11-04,59,0.3050847457627119,0.04745762711864406,0.07272727272727272
2018-11-05,43,0.5116279069767442,3.609302325581395,0.07674418604651163
2018-11-06,2,1.0,2.35,0.3
2018-11-07,33,1.5151515151515151,3.6,0.04242424242424243
2018-11-08,3,0.6666666666666666,4.566666666666666,0.39999999999999997
2018-11-10,1,0.0,1.4,0.0
2018-11-11,2,1.0,3.8,0.1
2018-11-12,18,0.9444444444444444,1.5777777777777777,0.08888888888888889
2018-11-13,1,1.0,40.6,0.0
2018-11-17,11,1.5454545454545454,0.38181818181818183,0.0
2018-11-18,1,0.0,5.7,0.0
2018-11-19,1,0.0,3.4,0.1
2018-11-22,1,0.0,3.9,0.0
2018-11-26,1,0.0,5.5,0.0
2018-12-12,10,3.0,2.43,0.13333333333333333
2018-12-13,1,5.0,0.4,0.2
2018-12-14,8,1.875,0.5249999999999999,0.16666666666666666
2018-12-20,1,0.0,0.1,0.0
2018-12-21,8,2.0,3.075,0.03333333333333333
2018-12-22,34,0.0,1.5411764705882351,0.029411764705882353
2018-12-23,1,0.0,3.1,0.0
2018-12-24,3,0.0,7.2,0.09999999999999999
2018-12-26,3,0.0,0.9333333333333332,0.0
2018-12-29,2,0.0,1.0,0.0
2019-01-02,5,0.0,0.5,0.0
2019-01-03,2,0.0,10.05,0.0
2019-01-12,2,0.5,39.75,0.0
2019-01-15,15,2.533333333333333,0.5,0.27692307692307694
2019-01-16,1,2.0,7.2,0.0
2019-01-17,6,1.3333333333333333,3.4499999999999997,0.32
2019-01-18,4,2.75,5.925000000000001,0.0
2019-01-19,1,2.0,8.2,0.0
2019-01-20,5,2.0,6.0200000000000005,0.05
2019-01-23,1,0.0,11.8,0.0
2019-01-25,6,1.1666666666666667,0.6166666666666667,0.11666666666666665
2019-01-26,23,1.7391304347826086,0.7217391304347827,0.028571428571428574
2019-01-27,6,1.0,14.233333333333334,0.0
2019-01-28,1,3.0,7.9,0.0
2019-02-02,2,0.0,4.5,0.0
2019-02-05,4,1.0,1.45,0.05
2019-02-07,2,0.0,0.6,0.0
2019-02-09,9,0.0,0.3,0.0
2019-02-10,5,0.0,4.68,0.0
2019-02-12,1,0.0,1.8,0.0
2019-02-16,5,0.0,12.72,0.0
2019-02-20,2,0.5,1.7000000000000002,0.0
2019-02-21,5,0.0,18.339999999999996,0.0
2019-02-23,1,0.0,3.1,0.0
2019-03-02,4,0.0,0.7,0.0
2019-03-03,3,0.0,6.6000000000000005,0.0
2019-03-05,1,0.0,1.7,0.0
2019-03-07,9,0.0,12.8,0.0
2019-03-08,2,0.0,7.4,0.0
2019-03-10,2,1.0,9.5,0.0
2019-03-13,1,0.0,1.8,0.0
2019-03-15,1,2.0,5.7,0.0
2019-03-16,3,0.0,8.233333333333333,0.03333333333333333
2019-03-17,2,0.0,4.05,0.0
2019-03-18,3,1.0,1.4666666666666668,0.0
2019-03-20,1,0.0,4.3,0.0
2019-03-27,1,0.0,7.5,0.0
2019-03-30,3,0.0,14.933333333333332,0.0
2019-03-31,9,0.0,3.088888888888889,0.0
2019-04-01,4,0.0,0.3,0.0
2019-04-09,7,3.0,0.08571428571428573,0.17142857142857146
2019-04-10,1,4.0,0.0,0.3
2019-04-12,2,3.0,2.1,0.1
2019-04-14,19,1.368421052631579,0.10526315789473684,0.13333333333333333
2019-04-19,7,0.0,1.9714285714285715,0.1
2019-04-20,1,0.0,8.5,0.0
2019-04-21,7,0.0,2.857142857142857,0.0
2019-04-25,1,0.0,4.8,0.0
2019-04-26,1,0.0,20.5,0.0
2019-04-27,2,0.0,0.8,0.0
2019-05-02,2,0.0,0.5,0.0
2019-05-04,1,0.0,0.7,0.0
2019-05-06,2,0.0,0.0,0.15000000000000002
2019-05-07,12,2.0,0.0,0.09999999999999999
2019-05-08,18,2.2777777777777777,0.011111111111111112,0.2
2019-05-09,6,4.666666666666667,0.0,0.21666666666666667
2019-05-10,4,5.0,0.0,0.475
2019-05-11,14,5.571428571428571,0.2857142857142857,0.4307692307692308
2019-05-12,10,5.2,8.7,0.022222222222222223
2019-05-15,8,2.0,0.0,0.07500000000000001
2019-05-16,7,3.0,0.0,0.3
2019-05-17,7,4.0,0.028571428571428574,0.4666666666666666
2019-05-18,12,5.0,0.0,0.43
2019-05-19,28,6.0,0.09285714285714286,0.42608695652173917
2019-05-22,8,7.0,0.0,0.675
2019-05-23,5,4.6,1.3,0.64
2019-05-26,13,3.230769230769231,0.11538461538461539,0.7090909090909091
2019-05-27,5,3.8,0.0,1.0
2019-05-28,7,5.714285714285714,0.08571428571428573,0.5571428571428572
2019-05-29,5,5.6,17.48,0.04
2019-05-30,1,5.0,3.2,0.0
2019-05-31,4,0.0,0.0,0.2
2019-06-01,29,1.1379310344827587,4.844827586206897,0.13846153846153847
2019-06-02,2,6.0,3.9,0.8
2019-06-04,1,2.0,0.0,0.1
2019-06-05,1,2.0,0.0,0.7
2019-06-06,7,4.0,0.0,0.7999999999999999
